id,value
ARL,"Argentine Peso Ley (1970–1983)"
ATS,"Austrian Schilling"
AZM,"Azerbaijani Manat (1993–2006)"
BEC,"Belgian Franc (convertible)"
BEL,"Belgian Franc (financial)"
BOL,"Bolivian Boliviano (1863–1963)"
BOV,"Bolivian Mvdol"
BAD,"Bosnia-Herzegovina Dinar (1992–1994)"
BAN,"Bosnia-Herzegovina New Dinar (1994–1997)"
BRC,"Brazilian Cruzado (1986–1989)"
BRZ,"Brazilian Cruzeiro (1942–1967)"
BRE,"Brazilian Cruzeiro (1990–1993)"
BRR,"Brazilian Cruzeiro (1993–1994)"
BRN,"Brazilian New Cruzado (1989–1990)"
BRB,"Brazilian New Cruzeiro (1967–1986)"
BGL,"Bulgarian Hard Lev"
BGO,"Bulgarian Lev (1879–1952)"
BGM,"Bulgarian Socialist Lev"
CLE,"Chilean Escudo"
CLF,"Chilean Unit of Account (UF)"
CNX,"Chinese People’s Bank Dollar"
COU,"Colombian Real Value Unit"
HRD,"Croatian Dinar"
CSK,"Czechoslovak Hard Koruna"
NLG,"Dutch Guilder"
DDM,"East German Mark"
ECS,"Ecuadorian Sucre"
ECV,"Ecuadorian Unit of Constant Value"
GQE,"Equatorial Guinean Ekwele"
EEK,"Estonian Kroon"
XEU,"European Currency Unit"
FIM,"Finnish Markka"
XFO,"French Gold Franc"
XFU,"French UIC-Franc"
GEK,"Georgian Kupon Larit"
GHC,"Ghanaian Cedi (1979–2007)"
GRD,"Greek Drachma"
GWP,"Guinea-Bissau Peso"
GNS,"Guinean Syli"
ISJ,"Icelandic Króna (1918–1981)"
IEP,"Irish Pound"
ILR,"Israeli Sheqel (1980–1985)"
ITL,"Italian Lira"
LVR,"Latvian Ruble"
LSL,"Lesotho Loti"
LTT,"Lithuanian Talonas"
LUL,"Luxembourg Financial Franc"
LUC,"Luxembourgian Convertible Franc"
LUF,"Luxembourgian Franc"
MKN,"Macedonian Denar (1992–1993)"
MGF,"Malagasy Franc"
MVP,"Maldivian Rupee (1947–1981)"
MLF,"Malian Franc"
MTL,"Maltese Lira"
MTP,"Maltese Pound"
MXV,"Mexican Investment Unit"
MXP,"Mexican Silver Peso (1861–1992)"
MDC,"Moldovan Cupon"
MCF,"Monegasque Franc"
MAF,"Moroccan Franc"
MZE,"Mozambican Escudo"
MZM,"Mozambican Metical (1980–2006)"
NIC,"Nicaraguan Córdoba (1988–1991)"
PEI,"Peruvian Inti"
PES,"Peruvian Sol (1863–1965)"
PLZ,"Polish Zloty (1950–1995)"
PTE,"Portuguese Escudo"
GWE,"Portuguese Guinea Escudo"
RHD,"Rhodesian Dollar"
XRE,"RINET Funds"
ROL,"Romanian Leu (1952–2006)"
SVC,"Salvadoran Colón"
CSD,"Serbian Dinar (2002–2006)"
SKK,"Slovak Koruna"
SIT,"Slovenian Tolar"
ZAL,"South African Rand (financial)"
KRH,"South Korean Hwan (1953–1962)"
KRO,"South Korean Won (1945–1953)"
ESA,"Spanish Peseta (A account)"
ESB,"Spanish Peseta (convertible account)"
SDD,"Sudanese Dinar (1992–2007)"
SRG,"Surinamese Guilder"
TJR,"Tajikistani Ruble"
TPE,"Timorese Escudo"
TMM,"Turkmenistani Manat (1993–2009)"
UGS,"Ugandan Shilling (1966–1987)"
UAK,"Ukrainian Karbovanets"
UYP,"Uruguayan Peso (1975–1993)"
UYI,"Uruguayan Peso (Indexed Units)"
VEB,"Venezuelan Bolívar (1871–2008)"
VNN,"Vietnamese Dong (1978–1985)"
CHE,"WIR Euro"
CHW,"WIR Franc"
XPF,XPFဖရန့်
YDD,"Yemeni Dinar"
YUN,"Yugoslavian Convertible Dinar (1990–1992)"
YUD,"Yugoslavian Hard Dinar (1966–1990)"
YUM,"Yugoslavian New Dinar (1994–2002)"
YUR,"Yugoslavian Reformed Dinar (1992–1993)"
ZRN,"Zairean New Zaire (1993–1998)"
ZRZ,"Zairean Zaire (1971–1993)"
ZMK,"Zambian Kwacha (1968–2012)"
ZWR,"Zimbabwean Dollar (2008)"
ZWL,"Zimbabwean Dollar (2009)"
